trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
car1_Standard_toM_060000,06:00:00,06:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_060000,06:07:30,06:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_061500,06:15:00,06:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_061500,06:22:30,06:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_063000,06:30:00,06:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_063000,06:37:30,06:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_064500,06:45:00,06:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_064500,06:52:30,06:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_070000,07:00:00,07:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_070000,07:07:30,07:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_071500,07:15:00,07:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_071500,07:22:30,07:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_073000,07:30:00,07:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_073000,07:37:30,07:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_074500,07:45:00,07:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_074500,07:52:30,07:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_080000,08:00:00,08:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_080000,08:07:30,08:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_081500,08:15:00,08:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_081500,08:22:30,08:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_083000,08:30:00,08:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_083000,08:37:30,08:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_084500,08:45:00,08:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_084500,08:52:30,08:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_090000,09:00:00,09:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_090000,09:07:30,09:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_091500,09:15:00,09:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_091500,09:22:30,09:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_093000,09:30:00,09:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_093000,09:37:30,09:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_094500,09:45:00,09:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_094500,09:52:30,09:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_100000,10:00:00,10:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_100000,10:07:30,10:08:00,2,2,,0,0,,,0.956,1
